id,diaSemana,arribo,inicioAtencionCaja,finPedido,finPago,metodoPago,observacion
h32twg6t01n4yplcosAm,domingo,12:33:13.626000,"12:34:22,513","12:35:09,662","12:35:28,670",efectivo,
jbCdVL0eUpAraVHdqYnM,domingo,11:54:26.253000,"11:55:40,913","11:55:54,917","11:56:57,156",efectivo,
j3jessTow1t8IquCFk0x,domingo,12:10:49.788000,"12:11:10,867","12:12:45,051","12:12:59,482",efectivo,
iotpJmFvk9uRsyPfwmp6,domingo,13:12:42.081000,"13:15:00,773","13:15:08,282","13:15:21,112",efectivo,
1lU0vWoCD3kMsmo9T0xE,domingo,14:47:31.805000,"14:54:27,675","14:54:58,224","14:55:37,846",efectivo,
oiCByUTjZgMA7H1NkLXi,domingo,13:01:08.196000,"13:01:24,023","13:01:46,466","13:02:07,207",efectivo,
ksdfQgybGNZ1yTRJNd2G,domingo,13:03:33.822000,"13:03:35,070","13:03:50,682","13:04:07,323",Tarjeta,
wYzWaDvYAJzEm87ARPgY,domingo,11:50:19.556000,"11:51:02,636","11:51:47,779","11:52:08,531",efectivo,
rL3Bkl4SNBH1WORr2LY1,domingo,13:17:20.589000,"13:17:51,456","13:17:55,824","13:18:18,874",efectivo,
rLAGu93XKfxiEauTSstO,domingo,13:03:40.233000,"13:06:29,076","13:06:53,529","13:07:13,208",Tarjeta,
sFxbhXxCF7wEhRsheBCG,domingo,14:08:20.540000,"14:10:13,356","14:10:28,145","14:10:54,219",Tarjeta,
sfDi2byj3gN9RfVJYNaC,domingo,14:18:14.540000,"14:19:24,476","14:19:34,251","14:19:54,926",efectivo,
tJ0VgEJAhoxGJQaJT5xM,domingo,14:50:00.221000,"14:59:02,188","14:59:18,830","14:59:21,919",efectivo,
0XcsNZybzSsdMHzwp64s,domingo,14:46:54.357000,"14:54:02,515","14:54:07,839","14:54:24,998",Tarjeta,
0N8qc4zVjxnNlhDYoD1K,domingo,13:34:27.499000,"13:34:30,812","13:35:34,541","13:35:58,580",Tarjeta,
uWNgnY8Yclp7Eyd484YE,domingo,14:51:51.026000,"14:59:50,494","15:00:02,826","15:00:09,744",efectivo,
uijq6ANOfHCsdyMQU7z7,domingo,14:42:10.761000,"14:49:20,876","14:50:05,064","14:50:30,066",efectivo,
wdSdsNjrO5kaul3mQveC,domingo,14:14:54.989000,"14:15:27,115","14:15:35,548","14:15:43,520",Tarjeta,
lJ4FEZgIBsvrw2D61pFp,domingo,14:15:31.142000,"14:17:24,356","14:17:29,196","14:17:42,312",efectivo,
